RUC / N? de Identificacion del Informado;Tipo de Registro;Tipo de Comprobante;Fecha de Emision;Condicion de la Operacion;Timbrado del Comprobante;Numero de Comprobante;Monto Gravado 10%;IVA 10%;Monto Gravado 5%;IVA 5%;Monto No Gravado / Exento ;Total Comprobante;Imputa IVA;Imputa IRE;Imputa IRP;No Imputar;Numero de Comprobante Asociado;Timbrado del Comprobante Asociado
80013876;COMPRAS;FACTURA;13/04/2022;CONTADO;15343865;005-016-0006521;117.598;10.691;11.771;561;0;129.369;SI;NO;NO;NO;;
80030572;COMPRAS;FACTURA;22/04/2022;CREDITO;15036746;001-046-4378046;283.250;25.750;0;0;0;283.250;SI;NO;NO;NO;;
80017437;COMPRAS;FACTURA;07/04/2022;CREDITO;14723761;001-002-3895983;199.000;18.091;0;0;0;199.000;SI;NO;NO;NO;;
80009735;COMPRAS;FACTURA;13/04/2022;CREDITO;14937615;001-064-4171049;202.980;18.453;0;0;0;202.980;SI;NO;NO;NO;;
80030572;COMPRAS;FACTURA;22/04/2022;CREDITO;15036746;001-046-4326426;586.550;53.323;0;0;0;586.550;SI;NO;NO;NO;;
80075100;COMPRAS;FACTURA;02/04/2022;CONTADO;15382928;001-002-0031682;65.000;5.909;0;0;0;65.000;SI;NO;NO;NO;;
80014066;COMPRAS;FACTURA;16/04/2022;CONTADO;15172878;035-005-0044175;60.000;5.455;0;0;0;60.000;SI;NO;NO;NO;;
80013876;COMPRAS;FACTURA;17/04/2022;CONTADO;15343865;005-029-0001517;122.855;11.169;7.497;357;0;130.352;SI;NO;NO;NO;;
